,rank,discipline,yrs.since.phd,yrs.service,sex,salary
0,Prof,B,19,18,Male,139750.0
1,Prof,B,20,16,Male,173200.0
2,AsstProf,B,4,3,Male,79750.0
3,Prof,B,45,39,Male,115000.0
4,Prof,B,40,41,Male,141500.0
5,AssocProf,B,6,6,Male,97000.0
6,Prof,B,30,23,Male,175000.0
7,Prof,B,45,45,Male,147765.0
8,Prof,B,21,20,Male,119250.0
9,Prof,B,18,18,Female,129000.0
10,AssocProf,B,12,8,Male,119800.0
11,AsstProf,B,7,2,Male,79800.0
12,AsstProf,B,1,1,Male,77700.0
13,AsstProf,B,2,0,Male,78000.0
14,Prof,B,20,18,Male,104800.0
15,Prof,B,12,3,Male,117150.0
16,Prof,B,19,20,Male,101000.0
17,Prof,A,38,34,Male,103450.0
18,Prof,A,37,23,Male,124750.0
19,Prof,A,39,36,Female,137000.0
20,Prof,A,31,26,Male,89565.0
21,Prof,A,36,31,Male,102580.0
22,Prof,A,34,30,Male,93904.0
23,Prof,A,24,19,Male,113068.0
24,AssocProf,A,13,8,Female,74830.0
25,Prof,A,21,8,Male,106294.0
26,Prof,A,35,23,Male,134885.0
27,AsstProf,B,5,3,Male,82379.0
28,AsstProf,B,11,0,Male,77000.0
29,Prof,B,12,8,Male,118223.0
30,Prof,B,20,4,Male,132261.0
31,AsstProf,B,7,2,Male,79916.0
32,Prof,B,13,9,Male,117256.0
33,AsstProf,B,4,2,Male,80225.0
34,AsstProf,B,4,2,Female,80225.0
35,AsstProf,B,5,0,Female,77000.0
36,Prof,B,22,21,Male,155750.0
37,AsstProf,B,7,4,Male,86373.0
38,Prof,B,41,31,Male,125196.0
39,AssocProf,B,9,9,Male,100938.0
40,Prof,B,23,2,Male,146500.0
41,AssocProf,B,23,23,Male,93418.0
42,Prof,B,40,27,Male,101299.0
43,Prof,B,38,38,Male,231545.0
44,Prof,B,19,19,Male,94384.0
45,Prof,B,25,15,Male,114778.0
46,Prof,B,40,28,Male,98193.0
47,Prof,B,23,19,Female,151768.0
48,Prof,B,25,25,Female,140096.0
49,AsstProf,B,1,1,Male,70768.0
50,Prof,B,28,28,Male,126621.0
51,Prof,B,12,11,Male,108875.0
52,AsstProf,B,11,3,Female,74692.0
53,Prof,B,16,9,Male,106639.0
54,AssocProf,B,12,11,Male,103760.0
55,AssocProf,B,14,5,Male,83900.0
56,Prof,B,23,21,Male,117704.0
57,AssocProf,B,9,8,Male,90215.0
58,AssocProf,B,10,9,Male,100135.0
59,AsstProf,B,8,3,Male,75044.0
60,AssocProf,B,9,8,Male,90304.0
61,AsstProf,B,3,2,Male,75243.0
62,Prof,B,33,31,Male,109785.0
63,AssocProf,B,11,11,Female,103613.0
64,AsstProf,B,4,3,Male,68404.0
65,AssocProf,B,9,8,Male,100522.0
66,Prof,B,22,12,Male,101000.0
67,Prof,B,35,31,Male,99418.0
68,Prof,B,17,17,Female,111512.0
69,Prof,B,28,36,Male,91412.0
70,Prof,B,17,2,Male,126320.0
71,Prof,B,45,45,Male,146856.0
72,Prof,B,29,19,Male,100131.0
73,Prof,B,35,34,Male,92391.0
74,Prof,B,28,23,Male,113398.0
75,AsstProf,B,8,3,Male,73266.0
76,Prof,B,17,3,Male,150480.0
77,Prof,B,26,19,Male,193000.0
78,AsstProf,B,3,1,Male,86100.0
79,AsstProf,B,6,2,Male,84240.0
80,Prof,B,43,28,Male,150743.0
81,Prof,B,17,16,Male,135585.0
82,Prof,B,22,20,Male,144640.0
83,AsstProf,B,6,2,Male,88825.0
84,Prof,B,17,18,Female,122960.0
85,Prof,B,15,14,Male,132825.0
86,Prof,B,37,37,Male,152708.0
87,AsstProf,B,2,2,Male,88400.0
88,Prof,B,25,25,Male,172272.0
89,AssocProf,B,9,7,Male,107008.0
90,AsstProf,B,10,5,Female,97032.0
91,AssocProf,B,10,7,Male,105128.0
92,AssocProf,B,10,7,Male,105631.0
93,Prof,B,38,38,Male,166024.0
94,Prof,B,21,20,Male,123683.0
95,AsstProf,B,4,0,Male,84000.0
96,AssocProf,B,17,12,Male,95611.0
97,Prof,B,13,7,Male,129676.0
98,Prof,B,30,14,Male,102235.0
99,Prof,B,41,26,Male,106689.0
100,Prof,B,42,25,Male,133217.0
101,Prof,B,28,23,Male,126933.0
102,Prof,B,16,5,Male,153303.0
103,Prof,B,20,14,Female,127512.0
104,AssocProf,A,18,10,Male,83850.0
105,Prof,A,31,28,Male,113543.0
106,AssocProf,A,11,8,Male,82099.0
107,AssocProf,A,10,8,Male,82600.0
108,AssocProf,A,15,8,Male,81500.0
109,Prof,A,40,31,Male,131205.0
110,Prof,A,20,16,Male,112429.0
111,AssocProf,A,19,16,Male,82100.0
112,AsstProf,A,3,1,Male,72500.0
113,Prof,A,37,37,Male,104279.0
114,Prof,A,12,0,Female,105000.0
115,Prof,A,21,9,Male,120806.0
116,Prof,A,30,29,Male,148500.0
117,Prof,A,39,36,Male,117515.0
118,AsstProf,A,4,1,Male,72500.0
119,AsstProf,A,5,3,Female,73500.0
120,Prof,A,14,14,Male,115313.0
121,Prof,A,32,32,Male,124309.0
122,Prof,A,24,22,Male,97262.0
123,AssocProf,A,25,22,Female,62884.0
124,Prof,A,24,22,Male,96614.0
125,Prof,A,54,49,Male,78162.0
126,Prof,A,28,26,Male,155500.0
127,AsstProf,A,2,0,Female,72500.0
128,Prof,A,32,30,Male,113278.0
129,AsstProf,A,4,2,Male,73000.0
130,AssocProf,A,11,9,Male,83001.0
131,Prof,A,56,57,Male,76840.0
132,AssocProf,A,10,8,Female,77500.0
133,AsstProf,A,3,1,Female,72500.0
134,Prof,A,35,25,Male,168635.0
135,Prof,A,20,18,Male,136000.0
136,Prof,A,16,14,Male,108262.0
137,Prof,A,17,14,Male,105668.0
138,AssocProf,A,10,7,Male,73877.0
139,Prof,A,21,18,Male,152664.0
140,AssocProf,A,14,8,Male,100102.0
141,AssocProf,A,15,10,Male,81500.0
142,Prof,A,19,11,Male,106608.0
143,AsstProf,B,3,3,Male,89942.0
144,Prof,B,27,27,Male,112696.0
145,Prof,B,28,28,Male,119015.0
146,AsstProf,B,4,4,Male,92000.0
147,Prof,B,27,27,Male,156938.0
148,Prof,B,36,26,Female,144651.0
149,AsstProf,B,4,3,Male,95079.0
150,Prof,B,14,12,Male,128148.0
151,AsstProf,B,4,4,Male,92000.0
152,Prof,B,21,9,Male,111168.0
153,AssocProf,B,12,10,Female,103994.0
154,AsstProf,B,4,0,Male,92000.0
155,Prof,B,21,21,Male,118971.0
156,AssocProf,B,12,18,Male,113341.0
157,AsstProf,B,1,0,Male,88000.0
158,AssocProf,B,6,6,Male,95408.0
159,Prof,B,15,16,Male,137167.0
160,AsstProf,B,2,2,Male,89516.0
161,Prof,B,26,19,Male,176500.0
162,AssocProf,B,22,7,Male,98510.0
163,AsstProf,B,3,3,Male,89942.0
164,AsstProf,B,1,0,Male,88795.0
165,Prof,B,21,8,Male,105890.0
166,Prof,B,16,16,Male,167284.0
167,Prof,B,18,19,Male,130664.0
168,AssocProf,B,8,6,Male,101210.0
169,Prof,B,25,18,Male,181257.0
170,AsstProf,B,5,5,Male,91227.0
171,Prof,B,19,19,Male,151575.0
172,Prof,B,37,24,Male,93164.0
173,Prof,B,20,20,Male,134185.0
174,AssocProf,B,17,6,Male,105000.0
175,Prof,B,28,25,Male,111751.0
176,AssocProf,B,10,7,Male,95436.0
177,AssocProf,B,13,9,Male,100944.0
178,Prof,B,27,14,Male,147349.0
179,AsstProf,B,3,3,Female,92000.0
180,Prof,B,11,11,Male,142467.0
181,Prof,B,18,5,Male,141136.0
182,AssocProf,B,8,8,Male,100000.0
183,Prof,B,26,22,Male,150000.0
184,Prof,B,23,23,Male,101000.0
185,Prof,B,33,30,Male,134000.0
186,AssocProf,B,13,10,Female,103750.0
187,Prof,B,18,10,Male,107500.0
188,AssocProf,B,28,28,Male,106300.0
189,Prof,B,25,19,Male,153750.0
190,Prof,B,22,9,Male,180000.0
191,Prof,B,43,22,Male,133700.0
192,Prof,B,19,18,Male,122100.0
193,AssocProf,B,19,19,Male,86250.0
194,AssocProf,B,48,53,Male,90000.0
195,AssocProf,B,9,7,Male,113600.0
196,AsstProf,B,4,4,Male,92700.0
197,AsstProf,B,4,4,Male,92000.0
198,Prof,B,34,33,Male,189409.0
199,Prof,B,38,22,Male,114500.0
200,AsstProf,B,4,4,Male,92700.0
201,Prof,B,40,40,Male,119700.0
202,Prof,B,28,17,Male,160400.0
203,Prof,B,17,17,Male,152500.0
204,Prof,B,19,5,Male,165000.0
205,Prof,B,21,2,Male,96545.0
206,Prof,B,35,33,Male,162200.0
207,Prof,B,18,18,Male,120000.0
208,AsstProf,B,7,2,Male,91300.0
209,Prof,B,20,20,Male,163200.0
210,AsstProf,B,4,3,Male,91000.0
211,Prof,B,39,39,Male,111350.0
212,Prof,B,15,7,Male,128400.0
213,Prof,B,26,19,Male,126200.0
214,AssocProf,B,11,1,Male,118700.0
215,Prof,B,16,11,Male,145350.0
216,Prof,B,15,11,Male,146000.0
217,AssocProf,B,29,22,Male,105350.0
218,AssocProf,B,14,7,Female,109650.0
219,Prof,B,13,11,Male,119500.0
220,Prof,B,21,21,Male,170000.0
221,Prof,B,23,10,Male,145200.0
222,AssocProf,B,13,6,Male,107150.0
223,Prof,B,34,20,Male,129600.0
224,Prof,A,38,35,Male,87800.0
225,Prof,A,20,20,Male,122400.0
226,AsstProf,A,3,1,Male,63900.0
227,AssocProf,A,9,7,Male,70000.0
228,Prof,A,16,11,Male,88175.0
229,Prof,A,39,38,Male,133900.0
230,Prof,A,29,27,Female,91000.0
231,AssocProf,A,26,24,Female,73300.0
232,Prof,A,38,19,Male,148750.0
233,Prof,A,36,19,Female,117555.0
234,AsstProf,A,8,3,Male,69700.0
235,Prof,A,28,17,Male,81700.0
236,Prof,A,25,25,Male,114000.0
237,AsstProf,A,7,6,Female,63100.0
238,Prof,A,46,40,Male,77202.0
239,Prof,A,19,6,Male,96200.0
240,AsstProf,A,5,3,Male,69200.0
241,Prof,A,31,30,Male,122875.0
242,Prof,A,38,37,Male,102600.0
243,Prof,A,23,23,Male,108200.0
244,Prof,A,19,23,Male,84273.0
245,Prof,A,17,11,Female,90450.0
246,Prof,A,30,23,Male,91100.0
247,Prof,A,21,18,Male,101100.0
248,Prof,A,28,23,Male,128800.0
249,Prof,A,29,7,Male,204000.0
250,Prof,A,39,39,Male,109000.0
251,Prof,A,20,8,Male,102000.0
252,Prof,A,31,12,Male,132000.0
253,AsstProf,A,4,2,Female,77500.0
254,Prof,A,28,7,Female,116450.0
255,AssocProf,A,12,8,Male,83000.0
256,Prof,A,22,22,Male,140300.0
257,AssocProf,A,30,23,Male,74000.0
258,AsstProf,A,9,3,Male,73800.0
259,Prof,A,32,30,Male,92550.0
260,AssocProf,A,41,33,Male,88600.0
261,Prof,A,45,45,Male,107550.0
262,Prof,A,31,26,Male,121200.0
263,Prof,A,31,31,Male,126000.0
264,Prof,A,37,35,Male,99000.0
265,Prof,A,36,30,Male,134800.0
266,Prof,A,43,43,Male,143940.0
267,Prof,A,14,10,Male,104350.0
268,Prof,A,47,44,Male,89650.0
269,Prof,A,13,7,Male,103700.0
270,Prof,A,42,40,Male,143250.0
271,Prof,A,42,18,Male,194800.0
272,AsstProf,A,4,1,Male,73000.0
273,AsstProf,A,8,4,Male,74000.0
274,AsstProf,A,8,3,Female,78500.0
275,Prof,A,12,6,Male,93000.0
276,Prof,A,52,48,Male,107200.0
277,Prof,A,31,27,Male,163200.0
278,Prof,A,24,18,Male,107100.0
279,Prof,A,46,46,Male,100600.0
280,Prof,A,39,38,Male,136500.0
281,Prof,A,37,27,Male,103600.0
282,Prof,A,51,51,Male,57800.0
283,Prof,A,45,43,Male,155865.0
284,AssocProf,A,8,6,Male,88650.0
285,AssocProf,A,49,49,Male,81800.0
286,Prof,A,28,27,Male,115800.0
287,AsstProf,A,2,0,Male,85000.0
288,Prof,A,29,27,Male,150500.0
289,AsstProf,A,8,5,Male,74000.0
290,Prof,A,33,7,Male,174500.0
291,Prof,A,32,28,Male,168500.0
292,Prof,A,39,9,Male,183800.0
293,AssocProf,A,11,1,Male,104800.0
294,Prof,A,19,7,Male,107300.0
295,Prof,A,40,36,Male,97150.0
296,Prof,A,18,18,Male,126300.0
297,Prof,A,17,11,Male,148800.0
298,Prof,A,49,43,Male,72300.0
299,AssocProf,A,45,39,Male,70700.0
300,Prof,A,39,36,Male,88600.0
301,Prof,A,27,16,Male,127100.0
302,Prof,A,28,13,Male,170500.0
303,Prof,A,14,4,Male,105260.0
304,Prof,A,46,44,Male,144050.0
305,Prof,A,33,31,Male,111350.0
306,AsstProf,A,7,4,Male,74500.0
307,Prof,A,31,28,Male,122500.0
308,AsstProf,A,5,0,Male,74000.0
309,Prof,A,22,15,Male,166800.0
310,Prof,A,20,7,Male,92050.0
311,Prof,A,14,9,Male,108100.0
312,Prof,A,29,19,Male,94350.0
313,Prof,A,35,35,Male,100351.0
314,Prof,A,22,6,Male,146800.0
315,AsstProf,B,6,3,Male,84716.0
316,AssocProf,B,12,9,Female,71065.0
317,Prof,B,46,45,Male,67559.0
318,Prof,B,16,16,Male,134550.0
319,Prof,B,16,15,Male,135027.0
320,Prof,B,24,23,Male,104428.0
321,AssocProf,B,9,9,Male,95642.0
322,AssocProf,B,13,11,Male,126431.0
323,Prof,B,24,15,Female,161101.0
324,Prof,B,30,31,Male,162221.0
325,AsstProf,B,8,4,Male,84500.0
326,Prof,B,23,15,Male,124714.0
327,Prof,B,37,37,Male,151650.0
328,AssocProf,B,10,10,Male,99247.0
329,Prof,B,23,23,Male,134778.0
330,Prof,B,49,60,Male,192253.0
331,Prof,B,20,9,Male,116518.0
332,Prof,B,18,10,Female,105450.0
333,Prof,B,33,19,Male,145098.0
334,AssocProf,B,19,6,Female,104542.0
335,Prof,B,36,38,Male,151445.0
336,Prof,B,35,23,Male,98053.0
337,Prof,B,13,12,Male,145000.0
338,Prof,B,32,25,Male,128464.0
339,Prof,B,37,15,Male,137317.0
340,Prof,B,13,11,Male,106231.0
341,Prof,B,17,17,Female,124312.0
342,Prof,B,38,38,Male,114596.0
343,Prof,B,31,31,Male,162150.0
344,Prof,B,32,35,Male,150376.0
345,Prof,B,15,10,Male,107986.0
346,Prof,B,41,27,Male,142023.0
347,Prof,B,39,33,Male,128250.0
348,AsstProf,B,4,3,Male,80139.0
349,Prof,B,27,28,Male,144309.0
350,Prof,B,56,49,Male,186960.0
351,Prof,B,38,38,Male,93519.0
352,Prof,B,26,27,Male,142500.0
353,Prof,B,22,20,Male,138000.0
354,AsstProf,B,8,1,Male,83600.0
355,Prof,B,25,21,Male,145028.0
356,Prof,A,49,40,Male,88709.0
357,Prof,A,39,35,Male,107309.0
358,Prof,A,28,14,Female,109954.0
359,AsstProf,A,11,4,Male,78785.0
360,Prof,A,14,11,Male,121946.0
361,Prof,A,23,15,Female,109646.0
362,Prof,A,30,30,Male,138771.0
363,AssocProf,A,20,17,Male,81285.0
364,Prof,A,43,43,Male,205500.0
365,Prof,A,43,40,Male,101036.0
366,Prof,A,15,10,Male,115435.0
367,AssocProf,A,10,1,Male,108413.0
368,Prof,A,35,30,Male,131950.0
369,Prof,A,33,31,Male,134690.0
370,AssocProf,A,13,8,Male,78182.0
371,Prof,A,23,20,Male,110515.0
372,Prof,A,12,7,Male,109707.0
373,Prof,A,30,26,Male,136660.0
374,Prof,A,27,19,Male,103275.0
375,Prof,A,28,26,Male,103649.0
376,AsstProf,A,4,1,Male,74856.0
377,AsstProf,A,6,3,Male,77081.0
378,Prof,A,38,38,Male,150680.0
379,AssocProf,A,11,8,Male,104121.0
380,AsstProf,A,8,3,Male,75996.0
381,Prof,A,27,23,Male,172505.0
382,AssocProf,A,8,5,Male,86895.0
383,Prof,A,44,44,Male,105000.0
384,Prof,A,27,21,Male,125192.0
385,Prof,A,15,9,Male,114330.0
386,Prof,A,29,27,Male,139219.0
387,Prof,A,29,15,Male,109305.0
388,Prof,A,38,36,Male,119450.0
389,Prof,A,33,18,Male,186023.0
390,Prof,A,40,19,Male,166605.0
391,Prof,A,30,19,Male,151292.0
392,Prof,A,33,30,Male,103106.0
393,Prof,A,31,19,Male,150564.0
394,Prof,A,42,25,Male,101738.0
395,Prof,A,25,15,Male,95329.0
396,AsstProf,A,8,4,Male,81035.0
